Region;Periods;Passenger car (driver);Passenger car (passenger);Train;Bus/tram/metro;Bicycle;To walk;Other mode of transport;
Northern Netherlands (LD);2018;20.54;23.77;71.26;24.71;3.96;1.98;29.47;
Northern Netherlands (LD);2019;21.26;28.45;72.82;24.66;3.94;2.28;24.13;
Northern Netherlands (LD);2020;17.41;18.41;80.6;0.0;4.18;2.38;18.93;
Northern Netherlands (LD);2021;18.05;23.45;78.91;24.29;4.39;2.41;20.62;
Northern Netherlands (LD);2022;19.25;22.62;74.91;23.14;4.25;2.16;22.45;
Northern Netherlands (LD);2023;18.96;21.78;70.96;23.7;4.04;2.14;19.35;
East Netherlands (LD);2018;19.67;21.14;54.22;15.76;3.81;2.09;24.6;
East Netherlands (LD);2019;19.73;20.96;55.02;17.68;3.94;2.13;23.77;
East Netherlands (LD);2020;17.19;18.09;53.99;16.41;4.01;2.18;20.13;
East Netherlands (LD);2021;17.6;20.53;46.2;17.48;4.17;2.31;22.32;
East Netherlands (LD);2022;17.93;19.97;56.65;17.07;3.85;2.08;20.36;
East Netherlands (LD);2023;18.24;21.19;54.03;16.13;3.87;2.06;19.22;
West Netherlands (LD);2018;19.41;20.87;42.89;12.49;3.99;2.01;17.9;
West Netherlands (LD);2019;19.56;21.26;44.2;13.36;3.89;2.04;19.21;
West Netherlands (LD);2020;16.96;19.66;41.32;11.61;4.18;2.08;16.3;
West Netherlands (LD);2021;17.56;20.71;42.5;13.15;4.16;2.18;14.73;
West Netherlands (LD);2022;17.66;20.39;43.22;12.39;3.95;2.03;15.64;
West Netherlands (LD);2023;18.28;20.43;43.3;12.86;3.93;2.02;16.09;
South Netherlands (LD);2018;16.79;18.15;58.6;16.63;4.23;2.0;22.92;
South Netherlands (LD);2019;16.44;18.59;55.57;15.57;4.26;2.01;18.39;
South Netherlands (LD);2020;14.05;15.63;57.66;21.11;4.3;2.19;15.72;
South Netherlands (LD);2021;15.38;15.72;59.23;14.31;4.32;2.32;16.61;
South Netherlands (LD);2022;15.83;16.62;58.89;20.42;4.41;2.1;20.17;
South Netherlands (LD);2023;15.64;17.85;56.07;18.03;4.33;2.07;17.9;
