"Mobility; traffic participation and participation in public transport "
"Population: Population 6 years or older"
"Margins: Value"
""
"Topic";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Male";"Male";"Male";"Male";"Male";"Male";"Female";"Female";"Female";"Female";"Female";"Female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Male";"Male";"Male";"Male";"Male";"Male";"Female";"Female";"Female";"Female";"Female";"Female"
"Periods";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023"
"Personal characteristics";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Total persons";"82.9";"81.9";"73.8";"78.1";"79.7";"80.4";"83.0";"82.6";"74.4";"77.9";"79.8";"80.5";"82.9";"81.3";"73.2";"78.4";"79.7";"80.3";"8.6";"8.6";"3.9";"4.2";"6.1";"7.0";"8.0";"7.9";"3.6";"3.8";"5.6";"6.6";"9.2";"9.2";"4.2";"4.7";"6.5";"7.4"
"Age: 6 to 11 years";"90.6";"88.9";"80.0";"85.6";"85.2";"85.8";"90.9";"89.6";"79.8";"84.7";"85.0";"85.7";"90.1";"88.3";"80.2";"86.6";"85.4";"86.0";"2.1";"1.6";".";".";"1.6";"2.0";"2.3";".";".";".";".";".";".";".";".";".";".";"."
"Age: 12 to 17 years";"86.3";"86.4";"73.5";"79.0";"82.9";"83.6";"85.7";"86.3";"72.1";"77.7";"82.5";"83.5";"86.9";"86.4";"75.0";"80.3";"83.3";"83.8";"11.7";"10.7";"6.3";"6.3";"9.2";"9.4";"10.1";"9.3";"6.2";"5.4";"7.6";"8.5";"13.3";"12.2";"6.4";"7.1";"11.0";"10.3"
"Age: 18 to 24 years";"86.8";"84.6";"74.6";"78.3";"81.2";"81.3";"85.6";"83.4";"73.3";"75.6";"79.5";"79.3";"87.9";"85.8";"75.9";"81.0";"82.9";"83.5";"23.8";"24.0";"11.9";"14.5";"18.4";"20.7";"21.1";"20.7";"9.3";"11.9";"16.4";"17.3";"26.6";"27.4";"14.5";"17.2";"20.4";"24.1"
"Age: 25 to 34 years";"88.6";"86.6";"77.2";"80.3";"81.3";"82.9";"87.6";"86.7";"76.6";"79.1";"80.2";"81.9";"89.7";"86.5";"77.9";"81.6";"82.6";"83.9";"13.4";"13.4";"6.0";"6.5";"9.6";"10.7";"12.6";"13.8";"5.8";"6.0";"9.0";"10.7";"14.2";"13.0";"6.1";"7.0";"10.2";"10.6"
"Age: 35 to 49 years";"86.7";"86.7";"78.7";"81.2";"82.7";"84.6";"86.6";"87.1";"79.0";"80.0";"81.9";"83.4";"86.8";"86.4";"78.5";"82.4";"83.5";"85.7";"7.1";"7.5";"3.2";"3.2";"4.8";"6.1";"6.7";"7.3";"3.2";"3.2";"4.7";"5.8";"7.6";"7.7";"3.2";"3.2";"4.9";"6.3"
"Age: 50 to 64 years";"83.5";"82.9";"76.8";"80.7";"81.6";"81.7";"83.0";"82.5";"76.8";"80.3";"81.4";"81.9";"84.0";"83.2";"76.8";"81.1";"81.8";"81.5";"6.0";"6.0";"2.5";"2.4";"3.8";"4.3";"5.9";"5.1";"2.4";"2.3";"3.5";"4.2";"6.2";"6.9";"2.5";"2.6";"4.1";"4.5"
"Age: 65 to 74 years";"74.9";"73.5";"67.8";"74.3";"76.7";"76.8";"74.4";"74.5";"69.7";"75.1";"77.6";"77.7";"75.4";"72.4";"66.0";"73.5";"75.7";"76.0";"4.2";"4.2";"1.6";"1.8";"2.2";"3.1";"3.4";"2.9";".";"1.6";"1.9";"3.1";"5.0";"5.4";"2.2";"2.0";"2.5";"3.2"
"Age: 75 years or older";"59.8";"59.4";"51.6";"59.7";"62.6";"62.5";"63.1";"63.9";"56.4";"64.6";"67.0";"67.1";"57.3";"56.0";"47.7";"55.9";"59.1";"58.7";"3.2";"2.9";"1.1";"1.2";"1.8";"2.2";"3.3";"3.1";".";".";"1.4";"1.9";"3.2";"2.8";".";"1.5";"2.1";"2.5"
"Equivalised income: 1st 20% group";"77.1";"74.1";"62.8";"70.0";"72.6";"72.4";"78.1";"74.2";"64.2";"69.9";"72.6";"73.4";"76.3";"74.0";"61.5";"70.0";"72.7";"71.5";"12.5";"12.1";"5.6";"7.0";"9.5";"10.3";"11.4";"10.5";"4.9";"6.1";"9.4";"9.6";"13.4";"13.6";"6.3";"7.8";"9.6";"11.0"
