Regions;Periods;Investments
Noord-Nederland (LD);2009;0,30
Noord-Nederland (LD);2010;0,20
Noord-Nederland (LD);2011;0,00
Noord-Nederland (LD);2012;0,00
Noord-Nederland (LD);2013;0,00
Noord-Nederland (LD);2014;0,00
Noord-Nederland (LD);2015;0,00
Noord-Nederland (LD);2016;0,20
Noord-Nederland (LD);2017;0,50
Noord-Nederland (LD);2018;0,60
Noord-Nederland (LD);2019;0,20
Noord-Nederland (LD);2020;0,00
Noord-Nederland (LD);2021;0,10
Noord-Nederland (LD);2022;13,80
Oost-Nederland (LD);2009;1,70
Oost-Nederland (LD);2010;4,30
Oost-Nederland (LD);2011;0,00
Oost-Nederland (LD);2012;0,60
Oost-Nederland (LD);2013;0,40
Oost-Nederland (LD);2014;0,00
Oost-Nederland (LD);2015;8,50
Oost-Nederland (LD);2016;0,70
Oost-Nederland (LD);2017;0,70
Oost-Nederland (LD);2018;8,10
Oost-Nederland (LD);2019;2,50
Oost-Nederland (LD);2020;0,00
Oost-Nederland (LD);2021;1,70
Oost-Nederland (LD);2022;1,30
West-Nederland (LD);2009;3,40
West-Nederland (LD);2010;4,00
West-Nederland (LD);2011;0,90
West-Nederland (LD);2012;1,10
West-Nederland (LD);2013;1,10
West-Nederland (LD);2014;0,50
West-Nederland (LD);2015;1,20
West-Nederland (LD);2016;0,60
West-Nederland (LD);2017;2,90
West-Nederland (LD);2018;5,70
West-Nederland (LD);2019;1,40
West-Nederland (LD);2020;2,20
West-Nederland (LD);2021;14,30
West-Nederland (LD);2022;33,50
Zuid-Nederland (LD);2009;0,80
Zuid-Nederland (LD);2010;7,50
Zuid-Nederland (LD);2011;1,50
Zuid-Nederland (LD);2012;0,00
Zuid-Nederland (LD);2013;0,00
Zuid-Nederland (LD);2014;0,30
Zuid-Nederland (LD);2015;0,00
Zuid-Nederland (LD);2016;0,40
Zuid-Nederland (LD);2017;0,70
Zuid-Nederland (LD);2018;3,20
Zuid-Nederland (LD);2019;0,50
Zuid-Nederland (LD);2020;0,70
Zuid-Nederland (LD);2021;0,20
Zuid-Nederland (LD);2022;1,00
